863.393  RMS Change: 7.35024
107.995  RMS Change: 0.597637
Level Tolerance=  0.2
105.548  RMS Change: 0.596832
Level Tolerance=  0.2
103.968  RMS Change: 0.59614
Level Tolerance=  0.2
102.559  RMS Change: 0.595554
Level Tolerance=  0.2
101.49  RMS Change: 0.595083
Level Tolerance=  0.2
100.498  RMS Change: 0.594654
Level Tolerance=  0.2
99.758  RMS Change: 0.594269
Level Tolerance=  0.2
99.0004  RMS Change: 0.5939
Level Tolerance=  0.2
98.3676  RMS Change: 0.593573
Level Tolerance=  0.2
97.6866  RMS Change: 0.593251
Level Tolerance=  0.2
96.9866  RMS Change: 0.592962
Level Tolerance=  0.2
96.4169  RMS Change: 0.592664
Level Tolerance=  0.2
95.7541  RMS Change: 0.592387
Level Tolerance=  0.2
95.3502  RMS Change: 0.592087
Level Tolerance=  0.2
94.7747  RMS Change: 0.591817
Level Tolerance=  0.2
94.42  RMS Change: 0.591517
Level Tolerance=  0.2
93.9849  RMS Change: 0.591241
Level Tolerance=  0.2
93.6675  RMS Change: 0.590953
Level Tolerance=  0.2
93.2421  RMS Change: 0.590687
Level Tolerance=  0.2
93.0839  RMS Change: 0.590392
Level Tolerance=  0.2
92.6662  RMS Change: 0.590127
Level Tolerance=  0.2
92.5002  RMS Change: 0.589843
Level Tolerance=  0.2
92.1467  RMS Change: 0.589574
Level Tolerance=  0.2
91.9995  RMS Change: 0.589293
Level Tolerance=  0.2
----------------------------------
----------------------------------
time = ~ 107 min

